Num_Acc;senc;catv;occutc;obs;obsm;choc;manv;num_veh;
1320;0;7;0;0;2;3;17;A01;
1320;0;7;0;0;2;1;1;B02;
1321;0;7;0;0;2;6;13;A01;
1321;0;7;0;0;2;1;1;B02;
1322;0;7;0;2;0;8;14;A01;
1323;0;30;0;0;2;6;13;A01;
1323;0;2;0;0;2;2;17;B02;
1324;0;30;0;0;2;1;6;A01;
1324;0;7;0;0;2;3;1;B02;
1325;0;7;0;0;2;6;10;A01;
1325;0;33;0;0;2;1;1;B02;
1326;0;7;0;0;2;3;21;A01;
1326;0;7;0;0;2;3;13;B02;
1327;0;31;0;7;0;1;0;A01;
1328;0;7;0;0;2;8;10;A01;
1328;0;7;0;0;2;1;17;B02;
1329;0;33;0;0;2;1;13;A01;
1329;0;7;0;0;2;1;1;B02;
1330;0;33;0;0;2;1;17;A01;
1330;0;10;0;0;2;3;10;B02;
1331;0;7;0;0;2;2;15;A01;
1331;0;30;0;0;2;3;1;B02;
1332;0;10;0;13;0;9;14;A01;
1333;0;33;0;11;0;1;6;A01;
1334;0;30;0;0;2;1;1;B02;
1334;0;7;0;0;2;2;1;A01;
1335;0;1;0;0;2;1;1;A01;
1335;0;7;0;0;2;2;19;B02;
1336;0;34;0;0;1;3;21;A01;
1337;0;7;0;0;2;2;15;A01;
1337;0;33;0;0;2;1;1;B02;
1338;0;7;0;0;1;1;1;A01;
1339;0;30;0;0;2;1;1;A01;
1339;0;7;0;0;2;5;4;B02;
1340;0;7;0;0;2;7;1;A01;
1340;0;7;0;0;2;1;5;B02;
1341;0;7;0;0;2;2;1;A01;
1341;0;31;0;0;2;1;1;B02;
1342;0;7;0;0;2;2;15;A01;
1342;0;7;0;0;2;1;1;B02;
1343;0;7;0;0;2;2;15;A01;
1343;0;7;0;0;2;2;1;B02;
1344;0;10;0;0;1;1;1;A01;
1345;0;1;0;0;0;1;1;A01;
1346;0;7;0;0;2;3;15;A01;
1346;0;7;0;0;2;2;21;B02;
1347;0;30;0;0;2;1;15;A01;
1347;0;30;0;0;2;1;1;B01;
1348;0;7;0;13;0;9;13;A01;
1349;0;30;0;0;0;0;14;A01;
1350;0;7;0;13;0;9;14;A01;
1351;0;2;0;0;1;0;1;A01;
1352;0;7;0;0;2;1;1;A01;
1352;0;34;0;0;2;1;1;B02;
1353;0;7;0;6;2;6;15;A01;
1353;0;31;0;0;2;1;1;B02;
1354;0;7;0;8;0;1;1;A01;
1355;0;7;0;0;9;2;1;A01;
1355;0;1;0;0;2;6;2;B02;
1356;0;7;0;0;9;1;1;B02;
1356;0;1;0;0;2;1;5;A01;
1357;0;1;0;14;0;1;1;A01;
1358;0;7;0;0;2;2;13;A01;
1358;0;7;0;0;2;2;1;B02;
1359;0;7;0;7;0;1;1;A01;
1360;0;7;0;2;0;8;13;A01;
1361;0;10;0;0;2;7;9;B02;
1361;0;10;0;0;2;1;1;A01;
1362;0;7;0;0;0;2;1;A01;
1363;0;10;0;0;2;8;1;C03;
1363;0;33;0;0;2;4;1;B02;
1363;0;33;0;0;2;9;17;A01;
1364;0;7;0;0;2;3;9;C03;
1364;0;7;0;0;2;1;1;A01;
1364;0;7;0;0;2;1;15;B02;
1365;0;7;0;0;1;7;1;A01;
1366;0;36;0;15;0;1;13;A01;
1367;0;30;0;1;0;1;1;A01;
1368;0;31;0;7;0;1;1;A01;
1369;0;7;0;0;2;3;1;A01;
1369;0;7;0;0;2;3;1;B02;
1370;0;10;0;0;2;2;6;A01;
1370;0;7;0;0;2;3;1;B02;
1370;0;7;0;0;2;1;1;C03;
1371;0;7;0;0;2;2;1;B02;
1371;0;1;0;0;2;1;9;A01;
1372;0;7;0;0;2;8;13;A01;
1372;0;7;0;0;2;1;1;B02;
1373;0;7;0;0;2;3;13;A01;
1373;0;30;0;0;2;1;1;B02;
1374;0;7;0;0;2;1;13;A01;
1374;0;7;0;0;2;1;1;B02;
1375;0;7;0;0;2;8;15;A01;
1375;0;31;0;0;2;7;1;B02;
1376;0;7;0;0;2;3;9;A01;
1376;0;2;0;0;2;1;1;B02;
1377;0;10;0;0;1;5;4;A01;
1378;0;7;0;0;2;6;19;A01;
1378;0;33;0;0;2;1;1;B02;
1379;0;21;0;0;2;8;1;B02;
1379;0;7;0;13;2;3;1;A01;
1380;0;1;0;0;2;8;13;B02;
1380;0;10;0;0;2;7;17;A01;
1381;0;7;0;0;2;1;13;A01;
1381;0;7;0;3;2;1;1;B02;
1382;0;7;0;0;1;2;1;A01;
1383;0;10;0;0;2;2;13;A01;
1383;0;7;0;0;2;3;1;B02;
1384;0;7;0;0;5;1;1;A01;
1385;0;7;0;2;0;3;13;A01;
1386;0;30;0;0;2;1;16;B02;
1386;0;7;0;0;2;8;1;A01;
1387;0;7;0;0;2;7;1;A01;
1387;0;7;0;0;2;3;13;B02;
1388;0;7;0;13;0;9;17;A01;
1389;0;7;0;13;0;3;1;A01;
1390;0;7;0;0;2;3;13;A01;
1390;0;7;0;0;2;3;1;B02;
1391;0;7;0;0;2;7;17;A01;
1391;0;2;0;0;2;8;15;B02;
1392;0;33;0;13;2;2;21;A01;
1392;0;1;0;0;2;2;5;B02;
1393;0;7;0;0;0;8;10;A01;
1393;0;33;0;0;2;1;1;B02;
1394;0;30;0;0;2;1;13;B02;
1394;0;30;0;0;2;1;1;A01;
1395;0;33;0;1;0;1;0;A01;
1396;0;7;0;0;2;3;1;A01;
1396;0;7;0;0;2;8;21;B02;
1397;0;7;0;2;0;7;13;A01;
1398;0;7;0;8;0;1;14;A01;
1399;0;10;0;0;1;1;1;A01;
1400;0;14;0;0;1;3;1;A01;
1401;0;2;0;8;0;1;14;A01;
1402;0;33;0;0;0;0;1;A01;
1403;0;7;0;0;1;3;1;A01;
1404;0;7;0;0;0;8;9;A01;
1404;0;31;0;0;2;1;1;B02;
1405;0;7;0;13;0;1;14;A01;
1406;0;7;0;0;2;7;1;B02;
1406;0;1;0;0;2;1;1;A01;
1407;0;10;0;0;2;2;15;A01;
1407;0;10;0;0;2;1;1;B02;
1408;0;7;0;13;2;3;13;A01;
1408;0;7;0;0;2;8;1;B02;
